Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2023,,,Elorrio,PER_10000,Elorrio,37.0
2019,,,Elorrio,PER_10000,Elorrio,18.5
2021,,,Elvillar / Bilar,PER_10000,Elvillar / Bilar,0.0
2019,,,Elvillar / Bilar,PER_10000,Elvillar / Bilar,54.6
2020,,,Elvillar / Bilar,PER_10000,Elvillar / Bilar,55.9
2023,,,Elvillar / Bilar,PER_10000,Elvillar / Bilar,0.0
2022,,,Elvillar / Bilar,PER_10000,Elvillar / Bilar,57.5
2020,,,Erandio,PER_10000,Erandio,39.9
2019,,,Erandio,PER_10000,Erandio,75.5
2023,,,Erandio,PER_10000,Erandio,59.8
2022,,,Erandio,PER_10000,Erandio,66.7
2021,,,Erandio,PER_10000,Erandio,55.4
2021,,,Ereño,PER_10000,Ereño,0.0
2023,,,Ereño,PER_10000,Ereño,0.0
2022,,,Ereño,PER_10000,Ereño,80.6
2019,,,Ereño,PER_10000,Ereño,0.0
2020,,,Ereño,PER_10000,Ereño,0.0
2019,,,Ermua,PER_10000,Ermua,14.9
2020,,,Ermua,PER_10000,Ermua,18.7
2022,,,Ermua,PER_10000,Ermua,42.0
2021,,,Ermua,PER_10000,Ermua,31.6
2023,,,Ermua,PER_10000,Ermua,36.8
2023,,,Errenteria,PER_10000,Errenteria,47.5
2019,,,Errenteria,PER_10000,Errenteria,55.9
2021,,,Errenteria,PER_10000,Errenteria,59.5
2022,,,Errenteria,PER_10000,Errenteria,52.0
2020,,,Errenteria,PER_10000,Errenteria,37.6
2021,,,Errezil,PER_10000,Errezil,0.0
2022,,,Errezil,PER_10000,Errezil,0.0
2020,,,Errezil,PER_10000,Errezil,36.8
2023,,,Errezil,PER_10000,Errezil,0.0
2019,,,Errezil,PER_10000,Errezil,0.0
2022,,,Erriberagoitia / Ribera Alta,PER_10000,Erriberagoitia / Ribera Alta,0.0
2019,,,Erriberagoitia / Ribera Alta,PER_10000,Erriberagoitia / Ribera Alta,56.8
