Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2018,Consumo de agua por habitante y día,,,Galdames,Litros per cápita diario,Galdames,170.4
2017,Consumo de agua por habitante y día,,,Galdames,Litros per cápita diario,Galdames,170.5
2016,Consumo de agua por habitante y día,,,Galdames,Litros per cápita diario,Galdames,174.5
2012,Consumo de agua por habitante y día,,,Galdames,Litros per cápita diario,Galdames,325.1
2011,Consumo de agua por habitante y día,,,Galdames,Litros per cápita diario,Galdames,322.8
2014,Consumo de agua por habitante y día,,,Galdames,Litros per cápita diario,Galdames,311.7
2015,Consumo de agua por habitante y día,,,Galdames,Litros per cápita diario,Galdames,178.0
2019,Consumo de agua por habitante y día,,,Galdames,Litros per cápita diario,Galdames,171.3
2017,Consumo de agua por habitante y día,,,Gamiz-Fika,Litros per cápita diario,Gamiz-Fika,172.8
2012,Consumo de agua por habitante y día,,,Gamiz-Fika,Litros per cápita diario,Gamiz-Fika,182.5
2016,Consumo de agua por habitante y día,,,Gamiz-Fika,Litros per cápita diario,Gamiz-Fika,175.9
2011,Consumo de agua por habitante y día,,,Gamiz-Fika,Litros per cápita diario,Gamiz-Fika,183.8
2014,Consumo de agua por habitante y día,,,Gamiz-Fika,Litros per cápita diario,Gamiz-Fika,177.6
2018,Consumo de agua por habitante y día,,,Gamiz-Fika,Litros per cápita diario,Gamiz-Fika,173.5
2015,Consumo de agua por habitante y día,,,Gamiz-Fika,Litros per cápita diario,Gamiz-Fika,175.6
2019,Consumo de agua por habitante y día,,,Gamiz-Fika,Litros per cápita diario,Gamiz-Fika,175.2
2019,Consumo de agua por habitante y día,,,Garai,Litros per cápita diario,Garai,158.6
2016,Consumo de agua por habitante y día,,,Garai,Litros per cápita diario,Garai,198.1
2012,Consumo de agua por habitante y día,,,Garai,Litros per cápita diario,Garai,211.1
2011,Consumo de agua por habitante y día,,,Garai,Litros per cápita diario,Garai,175.5
2017,Consumo de agua por habitante y día,,,Garai,Litros per cápita diario,Garai,165.9
2015,Consumo de agua por habitante y día,,,Garai,Litros per cápita diario,Garai,196.8
2018,Consumo de agua por habitante y día,,,Garai,Litros per cápita diario,Garai,164.2
2014,Consumo de agua por habitante y día,,,Garai,Litros per cápita diario,Garai,153.0
2012,Consumo de agua por habitante y día,,,Gatika,Litros per cápita diario,Gatika,182.2
2011,Consumo de agua por habitante y día,,,Gatika,Litros per cápita diario,Gatika,183.8
2017,Consumo de agua por habitante y día,,,Gatika,Litros per cápita diario,Gatika,171.8
2015,Consumo de agua por habitante y día,,,Gatika,Litros per cápita diario,Gatika,170.8
2018,Consumo de agua por habitante y día,,,Gatika,Litros per cápita diario,Gatika,173.9
2016,Consumo de agua por habitante y día,,,Gatika,Litros per cápita diario,Gatika,175.4
2014,Consumo de agua por habitante y día,,,Gatika,Litros per cápita diario,Gatika,176.4
2019,Consumo de agua por habitante y día,,,Gatika,Litros per cápita diario,Gatika,177.2
2017,Consumo de agua por habitante y día,,,Gautegiz Arteaga,Litros per cápita diario,Gautegiz Arteaga,172.9
2019,Consumo de agua por habitante y día,,,Gautegiz Arteaga,Litros per cápita diario,Gautegiz Arteaga,155.9
2014,Consumo de agua por habitante y día,,,Gautegiz Arteaga,Litros per cápita diario,Gautegiz Arteaga,124.1
2018,Consumo de agua por habitante y día,,,Gautegiz Arteaga,Litros per cápita diario,Gautegiz Arteaga,166.0
2015,Consumo de agua por habitante y día,,,Gautegiz Arteaga,Litros per cápita diario,Gautegiz Arteaga,176.9
2016,Consumo de agua por habitante y día,,,Gautegiz Arteaga,Litros per cápita diario,Gautegiz Arteaga,174.7
2011,Consumo de agua por habitante y día,,,Gautegiz Arteaga,Litros per cápita diario,Gautegiz Arteaga,136.2
2012,Consumo de agua por habitante y día,,,Gautegiz Arteaga,Litros per cápita diario,Gautegiz Arteaga,118.7
