Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2014,,ES2004,,PT,ES2004,0.2
2015,,ES2004,,PT,ES2004,0.2
2016,,ES2004,,PT,ES2004,0.2
2017,,ES2004,,PT,ES2004,0.2
2018,,ES2004,,PT,ES2004,0.2
2019,,ES2004,,PT,ES2004,0.2
2020,,ES2004,,PT,ES2004,0.2
2014,,,ES20040,PT,ES20040,0.5
2015,,,ES20040,PT,ES20040,0.5
2016,,,ES20040,PT,ES20040,0.4
2017,,,ES20040,PT,ES20040,0.3
2018,,,ES20040,PT,ES20040,0.3
2019,,,ES20040,PT,ES20040,0.3
2020,,,ES20040,PT,ES20040,0.3
2014,,,ES20041,PT,ES20041,4.9
2015,,,ES20041,PT,ES20041,7.3
2016,,,ES20041,PT,ES20041,5.8
2017,,,ES20041,PT,ES20041,7.0
2018,,,ES20041,PT,ES20041,5.4
2019,,,ES20041,PT,ES20041,5.5
2020,,,ES20041,PT,ES20041,5.5
2014,,,ES20042,PT,ES20042,0.6
