Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2017,,2007,,PT,2007,2.5
2018,,2007,,PT,2007,2.1
2019,,2007,,PT,2007,2.2
2020,,2007,,PT,2007,1.9
2014,,,20070,PT,20070,2.6
2015,,,20070,PT,20070,2.7
2016,,,20070,PT,20070,2.4
2017,,,20070,PT,20070,2.9
2018,,,20070,PT,20070,2.4
2019,,,20070,PT,20070,2.9
2020,,,20070,PT,20070,2.8
2014,,,20071,PT,20071,0.5
2015,,,20071,PT,20071,0.4
2016,,,20071,PT,20071,0.4
2017,,,20071,PT,20071,0.4
2018,,,20071,PT,20071,0.3
2019,,,20071,PT,20071,0.3
2020,,,20071,PT,20071,0.3
2014,,,20072,PT,20072,0.6
2015,,,20072,PT,20072,0.6
2016,,,20072,PT,20072,0.6
2017,,,20072,PT,20072,0.6
2018,,,20072,PT,20072,0.5
2019,,,20072,PT,20072,0.6
2020,,,20072,PT,20072,0.6
2014,,,20073,PT,20073,0.5
2015,,,20073,PT,20073,0.6
2016,,,20073,PT,20073,0.6
2017,,,20073,PT,20073,0.7
2018,,,20073,PT,20073,0.5
2019,,,20073,PT,20073,0.6
2020,,,20073,PT,20073,0.6
2014,,,20074,PT,20074,0.7
2015,,,20074,PT,20074,0.8
2016,,,20074,PT,20074,0.8
2017,,,20074,PT,20074,0.9
2018,,,20074,PT,20074,0.6
2019,,,20074,PT,20074,0.8
2020,,,20074,PT,20074,0.7
2014,,,20075,PT,20075,0.6
2015,,,20075,PT,20075,0.6
2016,,,20075,PT,20075,0.5
2017,,,20075,PT,20075,0.6
2018,,,20075,PT,20075,0.5
2019,,,20075,PT,20075,0.6
2020,,,20075,PT,20075,0.5
2014,,,20076,PT,20076,0.1
2015,,,20076,PT,20076,0.1
2016,,,20076,PT,20076,0.1
2017,,,20076,PT,20076,0.2
2018,,,20076,PT,20076,0.1
2019,,,20076,PT,20076,0.2
2020,,,20076,PT,20076,0.2
2014,,,20077,PT,20077,0.3
